StoreID,StoreName,AreaCode
S00340755,GANDHESWARI STATIONERY,710006
S00340756,BIVA STORES,710006
S00340758,DURGA BHANDER,710006
S00340759,PABITRA STATIONERY,710006
S00340761,KANAI GOURI BHANDER,710006
S00340767,ANNAPURNA BHANDER,710006
S00340774,SUNITI STORES,710006
S00340775,MAHAMAYA STORESS,710006
S00340776,KAKA STORES,710006
S00340777,LOKENATH PAN GHARS,710006
S00340778,RAHA STATIONERS,710006
S00340780,MAA LAXMI BHANDER,710006
S00340781,SARALA BHANDER,710006
S00340782,LAXMI NARAYAN BHANDERS,710006
S00340783,GANDHESWARI BHANDER,710006
S00340785,NISHA STORE,710006
S00340787,MAAYER ASHIRWAD,710006
S00340792,ARUSHIS,710006
S00340808,BISWAS PAN GHAR,710006
S00340856,SANJAY PAN GHARS,710006
S00340931,GHOSH STORES,710006
S00340978,LAXMI BHANDERS,710006
S00340995,SAHA STORESS,710006
S00341043,S K SAHA,710006
S00341048,TANUSHREE,710006
S00039694,REFRESHMENT POINT,700029
S00039697,ASADULLAH P S,700029
S00039700,RAJ MOHD  P S,700029
S00039701,HOME GUIDE P S,700029
S00039719,SHAHNAWAZ P S,700029
S00039770,HAJI ALI MOHD,700029
S00039775,AYUB G S,700029
S00039776,NATH G S,700029
S00039777,YASEEN G S,700029
S00039780,BISMILLAH P S,700029
S00039782,SHABIR KIRYANA,700029
S00039783,AMIN P S,700029
S00039784,WORLD TELECOM,700029
S00039786,BABA P S,700029
S00039789,RIYAZ P S,700029
S00039792,HELPLINE,700029
S00039799,NEEDS,700029
S00039838,MODERN BAKERY,700029
S00039839,N P P S,700029
S00039840,KHAN P S,700029
S00039841,KHAN G S,700029
S00039843,SHAHEEN BOOK DEPOT,700029
S00039844,QUALITY SHOP,700029
S00039845,M S DAR P S,700029
S00039846,PARAY G S,700029
S00039847,GEE ENN SONS,700029
S00039849,SIZZLING BUKHARA,700029
S00039850,ALAMDAR G S,700029
S00039853,GLAD HEART,700029
S00039855,CAPCOM,700029
S00039856,M R P S,700029
S00039859,IQBAL P S,700029
S00039860,BHAT G S,700029
S00039861,BHAT G S,700029
S00039862,JAVED P S,700029
S00039876,FUTURE SHOP,700029
S00039878,REFRESHMENT HOUSE,700029
S00039879,DAR P S,700029
S00427018,Sona Pan GharS,710006
S00427020,Jain Enterprise,710006
S00427021,Kundu StoreS,710006
S00427026,Mamu Pan Ghar,710006
S00427034,Shima Store,710006
S00427038,Puja Store,710006
S00427047,Gajen Roy,710006
S00427049,Sangita Store,710006
S00427050,Supriya Store,710006
S00427067,Gopal Bhandar,710006
S00427071,Gobinda Paul,710006
S00427074,MS SANJAY ENTERPRISE,710006
S00427075,Annapurna BhandarS,710006
S00427076,M S  Store,710006
S00427079,N B STORE,710006
S00427080,CHOWDHURY BROTHERS,710006
S00427082,Joy Guru Pan Ghar,710006
S00427083,LALLA PAN GHAR,710006
S00427085,Humil Milk Parlaur,710006
S00427095,P N  Gupta,710006
S00039880,DAR NEWS AGENCY,700029
S00039881,RAFIQ P S,700029
S00039882,FRIENDS P S,700029
S00039883,MALIK P S,700029
S00039884,MALIK TRADERS,700029
S00039885,SHEIKH P S,700029
S00039886,BHAT P S,700029
S00039888,CHOCLATE SHOP,700029
S00039892,GULBERG G S,700029
S00039895,GUPTA G S,700029
S00039896,PARAY G S,700029
S00039897,GH RASOOL BUDDO,700029
S00039902,JAVED P S,700029
S00039903,BEIGH P S,700029
S00039904,BISMILLAH P S,700029
S00039905,SHABIR P S,700029
S00039906,SHAFI P S,700029
S00039913,EVEGREEN,700029
S00039914,RIYAZ P S,700029
S00427110,New Dam Gift House,710006
S00427113,Madan Pan Ghar,710006
S00427117,JAI MA LAXMI BHANDAR,710006
S00427126,Kalu Store,710006
S00427139,SHAMBHU PAN GHAR,710006
S00039916,SAJAD G S,700029
S00039917,GOUSIA P S,700029
S00039919,GOUSIA STATIONERY,700029
S00039921,JAWAD P S,700029
S00039926,GH MOHD P S,700029
S00039930,HOTLINE,700029
S00039931,GULZAR G S,700029
S00039932,STAR G S,700029
S00039934,RAYEES P S,700029
S00039935,AZAD G S,700029
S00039936,WANI G S,700029
S00039941,SARTAJ P S,700029
S00039948,I R P TELECOM,700029
S00039955,NAZIR P S,700029
S00039956,I B TRADERS,700029
S00039960,M Y COLLECTION,700029
S00039991,BEIGH UTILITY,700029
S00039993,BHAT ENTERPRISES,700029
S00039995,BHAT AND SONS,700029
S00039998,CHALAK FOODS,700029
S00039999,MIR P S,700029
S00040000,ICE BLAST,700029
S00040001,DAR P S,700029
S00040003,ZAHOOR ENTERPRISES,700029
S00040005,WANI G S,700029
S00040021,SHABIR G S,700029
S00040032,HILAL P S,700029
S00040040,IRSHAD P S,700029
S00040041,RIYAZ P S,700029
S00040042,ASHRAF P S,700029
S00040045,GH  RASOOL P S,700029
S00040048,NAZIR P S,700029
S00040051,MIR P S,700029
S00040059,TANTRAY G S,700029
S00040063,MIR BROTHERS,700029
S00040065,BHAT PROV STORE,700029
S00040066,SOFI P S,700029
S00040072,AJAZ P S,700029
S00040074,DAR P S GH MOHD DAR,700029
S00040078,SHAFI P S,700029
S00040085,DAR P S,700029
S00040086,BASHIR P S,700029
S00040088,KHAN P S,700029
S00040089,CHAUDHARY P S,700029
S00040090,YASEEN G S,700029
S00040092,WANI P S,700029
S00040093,HAMEED HOME NEED,700029
S00040095,BABA P S,700029
S00040097,SHAH P S,700029
S00040099,KHAN UTILITY,700029
S00040100,SHAH PROVISTION STORE ASHIF,700029
S00040102,FOOD WORLD,700029
S00040104,BHAT P S,700029
S00040105,HOME PLAZA,700029
S00040106,SHALIMAR G S,700029
S00040107,FRIENDS G S,700029
S00040108,SOFT HUB,700029
S00040109,DAR P S,700029
S00040110,M I P S,700029
S00040111,BHAT P S,700029
S00040114,SOFI P S,700029
S00040117,VOICE WORLD,700029
S00040123,SHAFI PROV STORE,700029
S00040124,MOHD  SADIQ,700029
S00040125,D K COOL POINT,700029
S00040126,COLD BAKERY,700029
S00040129,AAINA P S,700029
S00040131,DAR BROVII,700029
S00040132,BIG CHOICE,700029
S00040135,MALIK P S,700029
S00040136,HILAL PROV STORE,700029
S00040227,MIR P S,700029
S00040231,MARINA HOME NEEDS,700029
S00040232,MUDASIR G S,700029
S00040235,NEEDS PICK  And CHOOSE,700029
S00476816,CHATTAN PAN GHAR,710006
S00476817,UMA STORES,710006
S00476821,GANESH VARIETY STORE,710006
S00476822,ILA STORE,710006
S00476823,SHREE GURU BHANDAR,710006
S00476826,GOPAL MALLICK,710006
S00476831,GHOSH VARIETY STORES,710006
S00476835,NANDI STORES,710006
S00476837,KATHA BARTHA,710006
S00476840,HARANDAR BHANDAR,710006
S00476847,PRIYA STORE,710006
S00476848,NEW VARITY STORE,710006
S00476849,MAMTA STORE,710006
S00476852,KARUNA COMMUNUCATION,710006
S00476854,SATYANARAYAN STORE,710006
S00476857,MAA PAN GHARS,710006
S00476860,DIPAK VARITY STORE,710006
S00476863,MONDAL STORE,710006
S00476878,MONOROMA STORE,710006
S00476880,LAXMI SWEETS,710006
S00476884,DEEP STORE,710006
S00476885,DEB STORE,710006
S00476896,LOKNATH BHANDARS,710006
S00476898,DAS BHANDAR,710006
S00476899,RATNA BHANDAR,710006
S00476905,TALE TALKIS,710006
S00476907,RAHA STORE,710006
S00476911,BINITA STORE,710006
S00476919,MAYA PAN GHAR,710006
S00476936,NARAYAN PAN GHAR,710006
